"","full_name","description","language","created_at"
"238","lh3/seqtk","Toolkit for processing sequences in FASTA/Q formats","C","2012-03-23T23:24:13Z"
"239","alibashir/EMMCKmer","Epigenetic Metagenomic Motif Characterization by Kmer Analysis","Python","2014-03-05T03:09:36Z"
"240","lh3/wgsim","Reads simulator","C","2011-01-22T22:57:48Z"
"241","PacificBiosciences/MotifMaker","Find methylated motifs in prokaryotic genomes","Scala","2012-08-03T16:26:44Z"
"242","jensengroup/optimized-protein-structures","Collection of optimized protein structures",NA,"2014-01-23T16:56:47Z"
"243","jensengroup/hydrogen-bond-correction-f3","Third-Generation Hydrogen-Bonding Corrections for Semiempirical QM Methods and Force Fields","FORTRAN","2013-12-12T14:23:12Z"
"244","ISA-tools/Risa","Risa allows to access metadata/data in ISA-tab format and builds Bioconductor data structures. Apart from parsing ISA-tab files, the package also provides functionality to save the ISA-tab dataset, or each of its individual files. Additionally, it is also possible to update assay files. Currently, metadata associated to proteomics and metabolomics-based assays (i.e. mass spectrometry) can be processed into an xcmsSet object (from the xcms R package).","R","2011-03-07T22:51:18Z"
"245","ISA-tools/Configuration-Files","ISAconfiguration files which have been created by the ISAconfigurator. These can be used by ISAcreator, ISAvalidator, ISAconverter and the BII Data Management Tool",NA,"2011-01-05T16:13:36Z"
"246","LUMC/kPAL","Analysis toolkit and programming library for k-mer profiles","Python","2014-11-18T09:11:32Z"
"247","CompEvol/beast2","Bayesian Evolutionary Analysis by Sampling Trees","Java","2014-01-15T21:56:41Z"
"248","CompEvol/MultiTypeTree","BEAST 2 package which provides support for multi-type trees: phylogenetic trees on structured populations.","Java","2012-04-13T05:08:13Z"
"249","wwliao/critool","Calculate CRI score and generate box plots","Python","2014-07-09T03:45:15Z"
"250","wwliao/critool","Calculate CRI score and generate box plots","Python","2014-07-09T03:45:15Z"
"251","dakl/SeqPrep","Tool for stripping adaptors and/or merging paired reads with overlap into single reads.","C","2013-03-04T08:20:11Z"
"252","bioh4x/NeatFreq","NeatFreq/Automaton Reference-Free Coverage Reduction Distribution Package","C","2013-10-09T17:27:56Z"
"253","martijnvermaat/bio-playground","Random collection of bioinformatics thingies","Python","2011-07-11T09:45:16Z"
"254","seatgeek/fuzzywuzzy","Fuzzy String Matching in Python","Python","2011-07-08T19:32:34Z"
"255","cyrus-/papers","papers I am working on / have submitted. see my website -> ","TeX","2012-03-18T22:34:25Z"
"256","mindinformatics/exframe","","PHP","2013-04-10T22:39:55Z"
"257","semsol/arc2","ARC RDF Classes for PHP","PHP","2010-10-12T07:31:20Z"
"258","faircloth-lab/phyluce","software for UCE (and general) phylogenomics","Python","2012-02-01T18:01:55Z"
"259","danmaclean/candisnp","code for candiSNP web tool","JavaScript","2013-04-17T20:09:53Z"
"260","danmaclean/candisnp","code for candiSNP web tool","JavaScript","2013-04-17T20:09:53Z"
"261","michada/GeneCommittee","Knowledge-based diagnostic web-tool for microarray and RNA-seq data.","Java","2013-05-07T11:28:26Z"
"262","chinchliff/autophy","python tools for organizing and processing PHLAWD alignments","Python","2013-06-10T18:53:01Z"
"263","FePhyFoFum/phyx","phylogenetics tools for linux (and other mostly posix compliant) computers","FORTRAN","2013-02-14T05:08:18Z"
"264","scottyaz/CostOfActiveCaseFinding","How much is TB Screening Worth? Estimating the Value of Active Case Finding for Tuberculosis in South Africa, China, and India","R","2013-07-05T14:18:03Z"
"265","utillich/NGS_Scripts","","Perl","2013-11-22T10:19:11Z"
"266","ISA-tools/linkedISA","Package to convert ISA-TAB files into RDF data relying on different semantic frameworks (OWL ontologies).","Java","2012-07-04T04:34:05Z"
"267","ISA-tools/linkedISA-ws","RESTful web service for converting ISATab files into RDF, relying on the linkedISA converter..","Java","2014-06-30T11:47:28Z"
"268","ToxBank/isa2rdf","ISA-TAB to RDF conversion for ToxBank","Java","2011-11-17T06:55:57Z"
"269","lanagarmire/MirMark","Home of the MirMark codebase","Perl","2014-10-07T23:15:41Z"
"270","crs4/vispa","Vector Integration Site Parallel Analysis","Python","2014-05-07T14:52:40Z"
"271","tpoisot/digitize","A R package to extract data from scatterplots","R","2012-01-07T02:29:37Z"
"272","arq5x/nanopore-scripts","Various scripts and recipes for working with nanopore data ","Python","2014-09-12T00:38:11Z"
"273","henrikstranneheim/MIP","Mutation Identification Pipeline. Read the latest documentation:","Perl","2013-01-17T14:45:55Z"
"274","robinandeer/chanjo","Chanjo provides a better way to analyze coverage data in clinical sequencing.","Python","2013-07-05T13:22:17Z"
"275","SciLifeLab/scilifelab","Misc code snippets for Science For Life Laboratory","Python","2012-04-12T07:58:18Z"
"276","rmccoy7541/assess-assembly","Scripts to analyze the presence or absence of generic genomic features in a de novo assembly.","Shell","2013-11-26T04:48:52Z"
"277","rmccoy7541/dmel-longread-assembly","Scripts used to assemble and assess the outcome of a Drosophila melanogaster assembly using TruSeq synthetic long-read data.","R","2014-01-17T22:55:14Z"
"278","lindenb/jvarkit","Java utilities for Bioinformatics","Java","2013-05-06T14:49:08Z"
"279","MIT-Model-Open-Data-and-Identity-System/SensibleData-Service","","Python","2013-04-26T21:47:00Z"
"280","MIT-Model-Open-Data-and-Identity-System/SensibleData-Service","","Python","2013-04-26T21:47:00Z"
"281","nh13/DWGSIM","Whole Genome Simulator for Next-Generation Sequencing","C","2011-10-19T00:19:14Z"
"282","stamatak/ExaML","Exascale Maximum Likelihood (ExaML) code for phylogenetic inference using MPI","C","2012-09-28T16:10:12Z"
"283","mlbright/edmonds","Edmonds / Chu-Liu algorithm for minimum spanning tree in a digraph","Java","2010-02-23T01:10:50Z"
"284","triplett/dipp-microbiome-study","Analysis code for the DIPP microbiome study","R","2014-11-20T16:04:25Z"
"285","marbl/harvest","","Python","2014-07-07T19:52:35Z"
"286","marbl/parsnp","","C++","2014-07-07T21:42:06Z"
"287","qsardb/qsardb","Java Reference Implementation (Java RI)","Java","2013-01-21T09:43:11Z"
"288","qsardb/qsardb-toolkit","GUI and command-line applications","Java","2013-01-22T12:03:29Z"
"289","genome/bam-readcount","count DNA sequence reads in BAM files","Python","2012-01-26T20:32:57Z"
"290","najoshi/sickle","Windowed Adaptive Trimming for fastq files using quality","C","2011-02-09T01:18:45Z"
"291","vsbuffalo/scythe","A 3'-end adapter contaminant trimmer","C","2011-02-03T03:19:01Z"
"292","jazzwang/hicloud-hadoop","install hadoop automatically to hiCloud VM in Taiwan","Shell","2012-05-05T14:32:24Z"
"293","phenoscape/orb-manager","","JavaScript","2014-08-18T16:33:08Z"
"294","rlouf/data","",NA,"2014-02-13T08:02:14Z"
"295","rlouf/data","",NA,"2014-02-13T08:02:14Z"
"296","davidliwei/RNASeqReadSimulator","RNASeqReadSimulator is a simple tool to generate simulated single-end or paired-end RNA-Seq reads.","Python","2012-02-08T23:14:53Z"
"297","LowPowerLab/RFM12B","RFM12B library","Arduino","2012-12-26T19:44:46Z"
"298","pele-python/pele","Python energy landscape explorer","Python","2013-06-04T15:32:36Z"
"299","plataformatec/devise","Flexible authentication solution for Rails with Warden.","Ruby","2009-09-16T12:15:12Z"
"300","QBRC/PIPE-CLIP","","Python","2012-12-12T19:32:33Z"
"301","QBRC/PIPE-CLIP","","Python","2012-12-12T19:32:33Z"
"302","jgurtowski/ectools","tools for error correction and working with long read data","Python","2013-08-01T13:18:23Z"
"303","PacificBiosciences/GenomicConsensus","PacBio® variant and consensus caller (Quiver algorithm)","Python","2012-08-31T21:41:49Z"
"304","wf4ever/ro-manager","Research Object manager command line tool(s) and web service","Python","2011-08-23T11:18:30Z"
"305","wf4ever/ro","Research object ontologies and specifications","HTML","2014-11-04T09:48:01Z"
"306","wf4ever/ro-catalogue","A collection of ROs for development and testing","Python","2012-03-14T15:28:26Z"
"307","wf4ever/ro-catalogue","A collection of ROs for development and testing","Python","2012-03-14T15:28:26Z"
"308","wf4ever/ro-catalogue","A collection of ROs for development and testing","Python","2012-03-14T15:28:26Z"
"309","wf4ever/ro-catalogue","A collection of ROs for development and testing","Python","2012-03-14T15:28:26Z"
"310","ShashaankV/CS","compressed sensing; scripts for ""Applying compressed sensing to genome-wide association studies""","Matlab","2014-04-21T20:19:15Z"
"311","ShashaankV/GD","genomic data: some real and scripts for mock",NA,"2014-04-21T20:02:50Z"
"312","amplab-extras/SparkR-pkg","R frontend for Spark","R","2013-12-21T21:16:54Z"
"313","mtu-most/linear-actuator","Code and model files for open source linear actuator","OpenSCAD","2013-12-19T18:54:31Z"
"314","YuzhenYe/DGRscan","DGRscan package for identification of DGR systems",NA,"2014-06-18T19:14:43Z"
"315","wash4all/open-turbidimeter-project","A low-cost, open-source device to measure water quality.","C++","2013-07-03T04:43:37Z"
"316","SwissTPH/data-diff","Compare data sets","Python","2013-09-20T12:17:17Z"
"317","twbs/bootstrap","The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.","CSS","2011-07-29T21:19:00Z"
"318","ehec-outbreak-crowdsourced/BGI-data-analysis","assemblies, annotations, further analysis on sequenced strains from the EHEC outbreak","Python","2011-06-03T21:35:42Z"
"319","iontorrent/TMAP","Torrent Mapping Alignment Program","C","2012-01-13T15:29:45Z"
"320","PacificBiosciences/Bioinformatics-Training","Bioinformatics training resources","R","2013-01-02T22:33:29Z"
"321","SpaceGroupUCL/Depthmap","( NOT ACTIVE - Check depthmapX ) Depthmap Spatial Network Analysis Software is a single software platform to perform a set of spatial network analyses designed to understand social processes within the built environment.","C++","2011-12-06T14:19:43Z"
"322","lsmeeton/pyconnect","Software for producing disconnectivity and metric disconnectivity graphs, and for calculating the principal components of chemical systems.","Python","2014-02-28T19:25:57Z"
"323","aflaxman/verbal-autopsy-challenge","Computer Coded Verbal Autopsy Challenge Problem",NA,"2010-03-30T17:26:46Z"
"324","abhishekdxt/CohortExplorer","Explore clinical cohorts and search for entities of interest","Perl","2014-07-31T21:40:11Z"
"325","rockt/SETH","SNP Extraction Tool for Human Variations","Java","2012-12-10T13:32:02Z"
"326","tbates/umx","The umx R package is focussed on making SEM in OpenMx quicker, easier, & more powerful. It's easy to learn & make models with. Scroll down to install with devtools","R","2012-08-14T20:18:01Z"
"327","DerrickWood/kraken","Kraken taxonomic sequence classification system","C++","2013-11-06T12:34:25Z"
"328","p2/clinical-trials-eval","Evaluation tool","Python","2013-06-04T16:58:33Z"
"329","rambaut/MERS-Cases",NA,"JavaScript","2013-06-18T18:29:08Z"
"330","WMD-Bath/MacroDensity","Analyse VASP density & potential grids using python","Python","2013-07-17T14:39:14Z"
"331","emilioserra/UbikSim","Simulator of human behaviours and intelligent environments","Java","2013-01-10T16:38:13Z"
"332","gsi-upm/EscapeSim","EscapeSim is a project based on UbikSim to simulate and improve emergencies plans in indoor environments","Java","2013-02-28T10:38:29Z"
"333","putnamlab/jam-pipeline","","C++","2013-04-15T20:38:28Z"
"334","nh13/DWGSIM","Whole Genome Simulator for Next-Generation Sequencing","C","2011-10-19T00:19:14Z"
"335","mourisl/Lighter","","C++","2014-02-27T01:05:57Z"
"336","wormtable/wormtable","Write-once-read-many table for large datasets.","Python","2012-10-27T17:01:05Z"
"337","lme4/lme4","Mixed-effects models in R using S4 classes and methods with RcppEigen","HTML","2012-11-10T15:58:05Z"
"338","OpenBEL/cytoscape-plugins","The OpenBEL Framework Cytoscape Plugins project enables Cytoscape to access and analyze Knowledge Assembly Models.","Java","2012-06-30T18:17:39Z"
"339","Albantakis/iit","Code for computing the integrated information (big phi) of a system and other relevant quantities and structures.","Matlab","2012-12-19T00:11:28Z"
"340","syoyo/lfptools","Tools for working with Lytro files","C","2012-03-25T15:54:32Z"
"341","WMD-Bath/BTW-FF","A forcefield to describe the structures and properties of metal-organic frameworks ","FORTRAN","2014-06-06T13:38:34Z"
"342","vsbuffalo/sam2counts","Count number of mapped reads per reference in SAM files (often for RNA-Seq experiments)","Python","2010-10-25T23:59:17Z"
"343","SEEG-Oxford/ebola_zoonotic","Source code for mapping the zoonotic niche of Ebola virus disease in Africa","R","2014-08-26T13:48:01Z"
"344","ropensci/taxize","A taxonomic toolbelt for R","R","2011-05-19T15:05:33Z"
"345","thorade/HelmholtzMedia","Modelica library for the calculation of fluid properties from a Helmholtz energy equation of state (EoS).","Modelica","2012-01-16T14:03:38Z"
"346","jtleek/dataanalysis","The lecture slides for Coursera's Data Analysis class","JavaScript","2013-01-22T12:16:41Z"
"347","bioperl/bioperl-live","Core BioPerl 1.x code","Perl","2010-05-12T17:13:10Z"
"348","MGFLI/RNAseq","analysis of RNAseq data","Perl","2014-02-28T10:39:18Z"
"349","glennhickey/progressiveCactus","Distribution package for the Prgressive Cactus multiple genome aligner.  Dependencies are linked as submodules","Python","2012-09-12T00:24:27Z"
"350","ggloor/ALDEx2","ALDEx tool to examine compositional high-throughput sequence data with Welch's t-test","TeX","2013-11-29T18:41:50Z"
"351","broadinstitute/picard","A set of tools (in Java) for working with next generation sequencing data in the BAM (http://samtools.github.io/hts-specs) format.","Java","2014-03-28T20:43:35Z"
"352","LukaszHuminiecki/bioCode","Big Data, bioinformatics, and genomics code in R, Python, MySQL, NoSQL, Perl, C, Objective C","R","2012-12-26T01:20:30Z"
"353","RGASP-consortium/reconstruction","Transcript reconstruction evaluation software","Java","2013-11-08T10:52:05Z"
"354","iontorrent/TS","Torrent Suite","Python","2012-01-13T15:25:43Z"
"355","sbotond/simcopy","An R package simulating the evolution of copy number profiles along a tree","R","2012-10-25T08:50:16Z"
"356","groupschoof/AHRD","High throughput protein function annotation with Human Readable Description (HRDs).","Java","2012-03-13T10:05:29Z"
"357","magkades/lopster","","Java","2014-05-05T22:14:32Z"
"358","jbogp/MRF_Platynereis_2014","Data and scripts attached to the paper ""Identifying cell types from spatially referenced single-cell expression datasets""","SQL","2014-03-21T14:01:34Z"
"359","Ensembl/ensembl-hive","EnsEMBL Hive - a system for creating and running pipelines on a distributed compute resource","Perl","2013-12-05T10:20:06Z"
"360","Ensembl/ensembl-variation","The Ensembl Variation Perl API and SQL schema ","Perl","2013-12-16T09:49:37Z"
"361","charite/topodombar","Phenotypic analysis of microdeletions and toplogical chromosome domain boundaries","Python","2014-05-30T12:09:39Z"
"362","mikelove/SparseData","perform stats on sparse data sets","R","2013-07-15T13:57:43Z"
"363","nrsalinas/2matrix","A utility for merging and translating phylogenetic datasets ","Perl","2013-05-24T22:35:27Z"
"364","nrsalinas/2matrix","A utility for merging and translating phylogenetic datasets ","Perl","2013-05-24T22:35:27Z"
"365","nrsalinas/2matrix","A utility for merging and translating phylogenetic datasets ","Perl","2013-05-24T22:35:27Z"
"366","keiono/d3-exporter-sample","Sample visualizations of JSON files generated by D3.js Exporter for Cytoscape 3.","JavaScript","2014-09-26T23:37:35Z"
"367","FasterXML/jackson","Main Portal page for Jackson project",NA,"2011-10-19T05:28:40Z"
"368","mbostock/d3","A JavaScript visualization library for HTML and SVG.","JavaScript","2010-09-27T17:22:42Z"
"369","keiono/cytoscape-d3","D3.js support for Cytoscape 3","Java","2013-11-26T20:49:56Z"
"370","F1000Research/cytoscape-d3","D3.js support for Cytoscape 3","Java","2014-06-17T15:39:10Z"
"371","idekerlab/cyjs-export-parent","Parent project for all Cytoscape.js export options.","JavaScript","2014-09-23T20:49:56Z"
"372","cytoscape/cyjs-sample","","JavaScript","2014-01-17T02:01:40Z"
"373","taoliu/MACS","MACS -- Model-based Analysis of ChIP-Seq","Python","2011-03-02T19:40:25Z"
"374","bahniks/CM_Manager_0_3_5","A program for analysis of data from the Carousel Maze.","Python","2013-08-16T14:38:14Z"
"375","zxing/zxing","Official ZXing (""Zebra Crossing"") project home","Java","2011-10-12T14:07:27Z"
"376","JoseBlanca/seq_crumbs","Little sequence file utilities meant to work within Unix pipelines","Python","2012-07-04T10:15:12Z"
"377","grindrod/iCY","Help determine patients' ability to read prescription labels","JavaScript","2012-01-20T15:16:56Z"
"378","wmgmm/mutpredsplice","Identifying coding region variants which disrupt pre mRNA-splicing and the underlying mechanism.","Java","2014-01-10T10:34:15Z"
"379","gersteinlab/OrthoClust","","C++","2014-05-20T21:11:28Z"
"380","drio/py.analysis","Pipelines, analysis and other goodies for next-gen data processing.","Python","2013-05-27T13:29:27Z"
"381","mbusby/ComplexityByStartPosition","Creates a rarefaction curve to measure complexity in RNA Seq data using start position","C++","2013-10-23T18:32:31Z"
"382","ekg/vcflib","a simple C++ library for parsing and manipulating VCF files, + many command-line utilities","C++","2010-09-22T23:25:59Z"
"383","deweylab/detonate","DETONATE: DE novo TranscriptOme rNa-seq Assembly with or without the Truth Evaluation","C++","2014-10-23T21:00:56Z"
"384","Jfortin1/funnorm_repro","Funnorm reproducible analysis","R","2014-05-23T18:47:02Z"
"385","nathanlazar/Bird_Perm_Analysis","Permutation analysis for avian genome","R","2014-11-25T20:39:07Z"
"386","MihaiPop/GEMS-db","Software used to process 16S rRNA amplicon data for the GEMS study of diarrheal disease.","Perl","2014-05-20T17:54:48Z"
"387","rronen/selection_stats","Tests of neutrality based on the Site Frequency Spectrum for VCF files",NA,"2013-12-31T20:47:32Z"
"388","biojs/biojs","A library of JavaScript components to represent biological data",NA,"2013-08-02T15:05:19Z"
"389","s312569/clj-biosequence","A Clojure library designed to make the manipulation of biological sequence data easier.","XML","2013-07-10T05:38:03Z"
"390","mlandis/phylowood","Browser-based Interactive Phylogeographic Animations","JavaScript","2012-05-02T17:07:04Z"
"391","mlandis/phylowood","Browser-based Interactive Phylogeographic Animations","JavaScript","2012-05-02T17:07:04Z"
"392","mlandis/phylowood","Browser-based Interactive Phylogeographic Animations","JavaScript","2012-05-02T17:07:04Z"
"393","PacificBiosciences/blasr","BLASR: The PacBio® long read aligner","C++","2013-03-12T15:22:21Z"
"394","PacificBiosciences/SMRT-Analysis","SMRT® Analysis is PacBio's bioinformatics software suite for analyzing single molecule, real-time DNA sequencing data",NA,"2012-11-03T01:44:54Z"
"395","Dauvit/Data_enrichment","Output from Naturalis hosted hackathon","CSS","2014-02-18T15:53:42Z"
"396","rdmpage/ocr-correction","OCR correction in browser for Leiden Hackathon","PHP","2014-03-18T09:34:22Z"
"397","rossmounce/LeidenPDFhack","Extract & release open (CC-BY) biodiversity images from non-PMC biodiversity journals. Starting with Phytotaxa","Python","2014-03-18T14:00:21Z"
"398","leechuck/plantphenotypes","","Groovy","2014-03-18T09:34:08Z"
"399","njall/XS-SWeDe","XML Schema for Scientific Webservice Descriptions",NA,"2014-03-18T16:46:27Z"
"400","njall/SWeDe-Farmer","Site to generate a SWeDe","JavaScript","2014-03-20T15:58:29Z"
"401","RBGKew/leiden-hackathon","RBG Kew work from the Pro-iBiosphere Hackathon in Leiden, March 2014.",NA,"2014-05-13T16:06:16Z"
"402","myGrid/DataHackLeiden","Code developed during the  NBC Data Enrichment Hackathon in Leiden ","Python","2014-02-18T15:06:47Z"
"403","naturalis/biovel-nbc","Naturalis implementations of BioVeL services.","Perl","2014-01-23T14:14:26Z"
"404","peakstogenes/PeaksToGenes","The PeaksToGenes utility to annotate ChIP-seq peaks.","Perl","2012-06-12T13:57:29Z"
"405","distrep/DMLT","Donders Machine Learning Toolbox","Matlab","2011-12-17T15:41:44Z"
"406","nylander/MrModeltest2","C program for selecting DNA substitution models using PAUP*",NA,"2013-02-22T11:47:06Z"
"407","jdaron/CLARI-TE","","Logos","2014-11-06T15:06:38Z"
"408","jamesmalone/AtlasRDF-R","R package for exploring and analysing with the Gene Expression Atlas RDF","R","2013-09-09T15:00:30Z"
"409","davek44/CLIP-Seq","","Python","2012-11-02T13:12:53Z"
"410","groupschoof/AHRD","High throughput protein function annotation with Human Readable Description (HRDs).","Java","2012-03-13T10:05:29Z"
"411","caulilin/lncRNA_Finder","The open source code of pipeline for the identification of long non-coding RNAs","Perl","2013-12-31T21:32:18Z"
"412","BauerLab/ngsane","Analysis Framework for Biological Data from High Throughput Experiments","HTML","2013-04-15T23:31:55Z"
"413","broadgsa/gatk","GATK Official Release Repository: contains the core MIT-licensed GATK framework, free for all uses","Java","2011-06-28T13:08:01Z"
"414","sgoodswe/vacceed","An in silico vaccine discovery pipeline for eukaryotic pathogens","Perl","2013-12-30T04:54:09Z"
"415","sgoodswe/vacceed","An in silico vaccine discovery pipeline for eukaryotic pathogens","Perl","2013-12-30T04:54:09Z"
"416","biojs/biojs","A library of JavaScript components to represent biological data",NA,"2013-08-02T15:05:19Z"
"417","dphansti/Sushi","Tools for visualizing genomics data","R","2014-02-19T18:12:22Z"
"418","sanchak/pagal","properties and graphics of alpha helices",NA,"2014-05-31T06:37:54Z"
"419","sanchak/pagal","properties and graphics of alpha helices",NA,"2014-05-31T06:37:54Z"
"420","F1000Research/pagal","properties and graphics of alpha helices",NA,"2014-08-04T08:55:53Z"
"421","BiologicalRecordsCentre/Odonata_traits","","R","2013-10-23T10:21:59Z"
"422","BiologicalRecordsCentre/Odonata_traits","","R","2013-10-23T10:21:59Z"
"423","heaslon/Easy-Leaf-Area","","Python","2014-05-19T19:32:58Z"
"424","heaslon/Easy-Leaf-Area","","Python","2014-05-19T19:32:58Z"
"425","heaslon/Easy-Leaf-Area","","Python","2014-05-19T19:32:58Z"
"426","heaslon/Easy-Leaf-Area","","Python","2014-05-19T19:32:58Z"
"427","yeastrc/snipviz","A SNP Visualizer - Javascript","JavaScript","2013-06-25T21:36:00Z"
"428","godotgildor/Suns","Suns Structural Search","Python","2012-12-14T01:02:35Z"
"429","Gabriel439/suns-cmd","Command line client for the Suns search engine","Haskell","2013-09-05T21:28:13Z"
"430","Gabriel439/suns-search","Fast all-atom protein structural search engine","Haskell","2013-08-02T21:20:57Z"
"431","Gabriel439/suns-search","Fast all-atom protein structural search engine","Haskell","2013-08-02T21:20:57Z"
"432","gigascience/paper-chen2014","",NA,"2014-09-24T01:44:16Z"
"433","bernhardkaplan/OlfactorySystem","Olfactory system simulation ","Python","2013-07-22T10:27:22Z"
"434","lsaravia/mfsba","Multifractal estimation using a standard box counting algorithm","C++","2012-02-09T17:53:47Z"
"435","lsaravia/mfsba","Multifractal estimation using a standard box counting algorithm","C++","2012-02-09T17:53:47Z"
"436","lsaravia/Neutral","C++ code for stochastic spacial neutral/hierarchical models","C++","2013-04-18T17:25:27Z"
"437","jiantao/Tangram","Fast Structural Variation Detection Toolbox","C++","2012-08-29T00:01:57Z"
"438","alexkalderimis/dag-viewer-biojs","BioJS DAG viewer component.","JavaScript","2013-12-18T19:56:59Z"
"439","apcdr/questionnaire","","C#","2014-03-27T17:04:10Z"
"440","GregoryFaust/samblaster","samblaster: a tool to mark duplicates and extract discordant and split reads from sam files.","C++","2014-02-11T18:27:47Z"
"441","lomereiter/sambamba","Tools for working with SAM/BAM data","D","2012-04-28T13:46:53Z"
"442","fizquierdo/perpetually-updated-trees","","Ruby","2013-04-08T10:14:01Z"
"443","stamatak/Parsimonator-1.0.2","","C","2011-06-29T18:40:18Z"
"444","qbilius/psychopy_ext","A framework for a rapid reproducible design, analysis and plotting of experiments in behavioral neuroscience and psychology.","Python","2013-03-13T09:31:50Z"
"445","biojs/biojs","A library of JavaScript components to represent biological data",NA,"2013-08-02T15:05:19Z"
"446","biojs/biojs","A library of JavaScript components to represent biological data",NA,"2013-08-02T15:05:19Z"
"447","rcsb/proteinfeatureview","The Protein Feature View - a SVG library for visualising protein annotations","JavaScript","2013-06-28T16:16:08Z"
"448","Jfortin1/shinyMethyl","Interactive visualization of 450k methylation data","R","2013-08-23T18:53:51Z"
"449","F1000Research/shinyMethyl","Interactive visualization of 450k methylation data",NA,"2014-07-03T09:48:32Z"
"450","macmanes/pero_transcriptome",NA,"TeX","2014-03-23T13:33:19Z"
"451","macmanes/pero_transcriptome",NA,"TeX","2014-03-23T13:33:19Z"
"452","macmanes/pero_transcriptome",NA,"TeX","2014-03-23T13:33:19Z"
"453","macmanes/pero_transcriptome",NA,"TeX","2014-03-23T13:33:19Z"
"454","macmanes/pero_transcriptome",NA,"TeX","2014-03-23T13:33:19Z"
"455","macmanes/pero_transcriptome",NA,"TeX","2014-03-23T13:33:19Z"
"456","GeneMANIA/genemania","GeneMANIA helps you predict the function of your favourite genes and gene sets.","Java","2013-08-30T00:01:17Z"
"457","F1000Research/genemania","GeneMANIA helps you predict the function of your favourite genes and gene sets.","Java","2014-06-16T16:02:15Z"
"458","jjgao/bridgedb.cytoscape","BridgeDb App for Cytoscape 3","Java","2013-07-18T04:37:27Z"
"459","F1000Research/bridgedb.cytoscape","BridgeDb App for Cytoscape 3","Java","2014-06-13T15:24:33Z"
"460","rochoa85/myChEMBL","myChEMBL Interface","PHP","2013-09-10T01:44:39Z"
"461","StoreyLab/subSeq","Subsampling of high-throughput sequencing count data","R","2014-07-26T22:46:54Z"
"462","tfshibata/Burkholderia_RPE67_stats","","Ruby","2014-05-11T09:42:01Z"
"463","mebbert/VariantToolChest","VariantToolChest (VTC) is intended to be a powerful tool chest to analyze VCF files. I encourage anyone to contribute their tools and help improve existing tools. VTC currently provides two powerful tools: (1) SetOperator for performing powerful set operations; and (2) VarStats for various statistics on VCF files.","Java","2013-08-10T22:35:46Z"
"464","ctSkennerton/minced","Mining CRISPRs in Environmental Datasets","Java","2013-11-18T06:56:03Z"
"465","khturner/metaRNA-seq","Custom scripts for creating and annotating multispecies bacterial metagenomes","Shell","2013-09-18T19:38:09Z"
"466","xjchen/igyne","iGyne","C++","2012-03-29T20:35:18Z"
"467","xjchen/igyne","iGyne","C++","2012-03-29T20:35:18Z"
"468","gpernelle/iGyne",NA,"Python","2014-04-21T12:56:42Z"
"469","xjchen/igyne","iGyne","C++","2012-03-29T20:35:18Z"
"470","jpuritz/dDocent","a bash pipeline for ddRAD sequencing","Shell","2013-10-08T22:51:27Z"
"471","wwood/metagenomic_mincer","Metagenomic simulator that can simulate multiple related communities","Ruby","2013-11-07T00:03:35Z"
"472","minillinim/sammy","Stupidly simple short read simulator","Perl","2012-11-20T06:06:04Z"
"473","minillinim/GroopM_test_data","Data used for validating GroopM",NA,"2013-12-20T03:58:13Z"
"474","minillinim/GroopM_test_data","Data used for validating GroopM",NA,"2013-12-20T03:58:13Z"
"475","minillinim/taintedSwallow","Parse nucmer output to create contig associations","Python","2013-07-30T14:14:38Z"
"476","NeuralEnsemble/libNeuroML","This package provides Python libNeuroML, for working with neuronal models specified in NeuroML ","Python","2012-03-16T15:30:59Z"
"477","LEMS/pylems","LEMS interpreter implemented in Python","Python","2012-05-14T17:41:23Z"
"478","jsonpickle/jsonpickle","Python library for serializing any arbitrary object graph into JSON. It can take almost any Python object and turn the object into JSON. Additionally, it can reconstitute the object back into Python.","Python","2009-12-10T03:59:23Z"
"479","LEMS/jLEMS","Java Interpreter for the Low Entropy Model Specification language","Java","2012-06-10T09:52:06Z"
"480","openworm/CElegansNeuroML","NeuroML based C elegans model, contained in a neuroConstruct project, as well as c302","XSLT","2012-04-04T16:05:15Z"
"481","NeuroML/org.neuroml.model","NeuroML v2 Java API","Java","2012-10-11T09:30:30Z"
"482","NeuroML/jNeuroML","For more details see http://www.neuroml.org/neuroml2.php","Java","2012-12-18T15:07:24Z"
"483","fangly/AmpliCopyrighter","CopyRighter","Perl","2012-09-14T03:02:50Z"
"484","wikipathways/cytoscape-wikipathways-app","WikiPathways app for Cytoscape to open and access pathways from WikiPathways","Java","2013-04-16T01:50:26Z"
"485","F1000Research/cytoscape-wikipathways-app","WikiPathways app for Cytoscape to open and access pathways from WikiPathways","Java","2014-05-27T12:06:09Z"
"486","idekerlab/KEGGscape","Cytoscape plugin for reading KEGG Pathway files","Java","2012-04-11T21:18:15Z"
"487","F1000Research/KEGGscape","Cytoscape plugin for reading KEGG Pathway files","Java","2014-06-18T14:41:13Z"
"488","RBVI/enhancedGraphics","App to add enhanced node graphics to Cytoscape 3","Java","2013-07-09T17:16:04Z"
"489","F1000Research/enhancedGraphics","App to add enhanced node graphics to Cytoscape 3","Java","2014-06-10T13:19:52Z"
